acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp
-2635,66,2637,-416,68,-258,,2025-02-12 12:10:55.889650
-2675,86,2647,-449,187,-228,,2025-02-12 12:10:55.903169
-2737,47,2586,-530,317,-190,,2025-02-12 12:10:55.921444
-2745,6,2588,-566,107,-107,,2025-02-12 12:10:55.933347
-2709,-34,2597,-540,-42,27,,2025-02-12 12:10:55.952946
-2729,2,2608,-495,-182,54,,2025-02-12 12:10:55.968188
-2713,44,2632,-511,-257,-2,,2025-02-12 12:10:55.983875
-2736,64,2667,-570,-256,-107,,2025-02-12 12:10:56.004858
-2688,122,2698,-556,-101,-196,,2025-02-12 12:10:56.016166
-2715,117,2701,-436,-26,-246,,2025-02-12 12:10:56.066618
-2749,130,2673,-358,2,-246,,2025-02-12 12:10:56.070133
-2696,130,2602,-364,-34,-277,,2025-02-12 12:10:56.071719
-2662,85,2503,-343,-153,-223,,2025-02-12 12:10:56.081798
-2651,61,2551,-154,8,-230,,2025-02-12 12:10:56.100714
-2706,41,2664,-66,-110,-167,,2025-02-12 12:10:56.114050
-2773,51,2794,-130,-186,-199,,2025-02-12 12:10:56.144569
-2786,102,2742,-245,-53,-317,,2025-02-12 12:10:56.149606
-2699,86,2704,-303,118,-418,,2025-02-12 12:10:56.164564
-2558,83,2710,-390,868,-408,,2025-02-12 12:10:56.181307
-2513,43,2623,-410,1510,-344,,2025-02-12 12:10:56.197911
-2614,-7,2519,-166,1620,-318,,2025-02-12 12:10:56.215600
-2739,112,2569,1,1323,-215,,2025-02-12 12:10:56.231549
-2920,143,2695,-116,549,-230,,2025-02-12 12:10:56.248040
-2876,125,2723,-304,27,-258,,2025-02-12 12:10:56.261891
-2830,93,2636,-461,-331,-214,,2025-02-12 12:10:56.280075
-2653,105,2605,-368,-539,-185,,2025-02-12 12:10:56.301841
-2564,109,2686,-373,-333,-214,,2025-02-12 12:10:56.312436
-2603,86,2758,-446,44,-387,,2025-02-12 12:10:56.364131
-2600,41,2785,-534,367,-449,,2025-02-12 12:10:56.368648
-2715,137,2749,-476,612,-439,,2025-02-12 12:10:56.370637
-2776,195,2722,-454,233,-387,,2025-02-12 12:10:56.373677
-2657,150,2672,-438,-184,-227,,2025-02-12 12:10:56.409758
-2628,207,2653,-452,-263,-92,,2025-02-12 12:10:56.413312
-2589,175,2664,-426,-121,-162,,2025-02-12 12:10:56.423527
-2622,130,2724,-524,331,-225,,2025-02-12 12:10:56.443074
-2652,87,2685,-522,469,-253,,2025-02-12 12:10:56.456688
-2694,53,2706,-524,488,-222,,2025-02-12 12:10:56.477768
-2717,85,2685,-557,369,-189,,2025-02-12 12:10:56.493596
-2680,88,2673,-593,24,-113,,2025-02-12 12:10:56.507080
-2693,89,2653,-671,-134,-74,,2025-02-12 12:10:56.526163
-2655,78,2653,-660,-196,-94,,2025-02-12 12:10:56.541007
-2678,45,2682,-662,-176,-123,,2025-02-12 12:10:56.555315
-2702,56,2672,-562,-112,-188,,2025-02-12 12:10:56.573625
-2695,104,2751,-562,-150,-149,,2025-02-12 12:10:56.587960
-2701,171,2724,-715,-246,-63,,2025-02-12 12:10:56.605963
-2722,159,2729,-848,-383,-134,,2025-02-12 12:10:56.652411
-2679,95,2693,-914,-439,-234,,2025-02-12 12:10:56.660053
-2606,39,2682,-850,-330,-240,,2025-02-12 12:10:56.669420
-2585,41,2695,-721,-163,-209,,2025-02-12 12:10:56.671456
-2572,50,2722,-595,176,-136,,2025-02-12 12:10:56.687769
-2673,70,2697,-550,465,-181,,2025-02-12 12:10:56.708562
-2734,105,2694,-634,616,-166,,2025-02-12 12:10:56.722703
-2765,99,2624,-651,600,-183,,2025-02-12 12:10:56.738823
-2767,125,2604,-620,346,-164,,2025-02-12 12:10:56.752691
-2772,81,2658,-637,162,-210,,2025-02-12 12:10:56.769163
-2697,91,2667,-568,-15,-227,,2025-02-12 12:10:56.786457
-2690,99,2670,-526,11,-156,,2025-02-12 12:10:56.801685
-2706,119,2694,-621,-26,-132,,2025-02-12 12:10:56.817365
-2596,99,2646,-593,157,-159,,2025-02-12 12:10:56.836455
-2612,81,2707,-472,366,-149,,2025-02-12 12:10:56.850591
-2700,83,2716,-376,338,-196,,2025-02-12 12:10:56.867491
-2731,61,2695,-373,107,-147,,2025-02-12 12:10:56.882759
-2812,102,2671,-560,-510,4,,2025-02-12 12:10:56.899345
-2763,131,2614,-829,-1032,125,,2025-02-12 12:10:56.915101
-2719,139,2649,-925,-971,116,,2025-02-12 12:10:56.963006
-2661,104,2651,-900,-623,-61,,2025-02-12 12:10:56.965509
