acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp
-3860,555,-1233,5633,843,2626,,2025-02-12 12:04:20.377188
-4042,341,-1245,5657,454,2472,,2025-02-12 12:04:20.388786
-4207,159,-1351,5791,-473,1954,,2025-02-12 12:04:20.404821
-4035,12,-1382,6012,-1535,1438,,2025-02-12 12:04:20.453311
-3782,-48,-1347,6474,-1674,1141,,2025-02-12 12:04:20.455880
-3590,1,-1215,6998,-1077,930,,2025-02-12 12:04:20.457091
-3528,87,-1098,7524,-94,804,,2025-02-12 12:04:20.473841
-3640,100,-1000,7989,1093,793,,2025-02-12 12:04:20.497526
-3819,75,-997,8089,1355,820,,2025-02-12 12:04:20.521682
-3842,84,-923,7828,953,889,,2025-02-12 12:04:20.524107
-3765,210,-841,7310,88,964,,2025-02-12 12:04:20.548236
-3646,451,-717,6699,-832,921,,2025-02-12 12:04:20.560725
-3474,711,-575,5958,-1654,737,,2025-02-12 12:04:20.578125
-3338,713,-511,5535,-2126,425,,2025-02-12 12:04:20.588731
-3233,606,-573,5497,-1902,63,,2025-02-12 12:04:20.630233
-3188,367,-635,5611,-1226,-220,,2025-02-12 12:04:20.632212
-3256,65,-713,5818,-759,-483,,2025-02-12 12:04:20.639588
-3380,-220,-704,6125,-894,-751,,2025-02-12 12:04:20.671294
-3510,-479,-696,6318,-1523,-1197,,2025-02-12 12:04:20.672445
-3571,-461,-664,6508,-2230,-1637,,2025-02-12 12:04:20.687768
-3646,-237,-680,6263,-2447,-2122,,2025-02-12 12:04:20.703397
-3679,35,-881,5732,-1883,-2596,,2025-02-12 12:04:20.754811
-3848,321,-991,4616,-602,-3142,,2025-02-12 12:04:20.757197
-3849,666,-1006,3264,312,-3188,,2025-02-12 12:04:20.758873
-4013,895,-696,1927,685,-2698,,2025-02-12 12:04:20.768778
-4352,958,-40,544,-780,-2521,,2025-02-12 12:04:20.782189
-4139,623,-216,-636,-3264,-2671,,2025-02-12 12:04:20.799724
-3716,327,-764,-1398,-2920,-2763,,2025-02-12 12:04:20.816645
-3246,-57,-1450,-2041,-963,-2210,,2025-02-12 12:04:20.834063
-3404,-614,-1785,-1536,1397,-1377,,2025-02-12 12:04:20.853994
-3795,-894,-1365,-1282,2173,-940,,2025-02-12 12:04:20.863268
-4097,-1138,-1096,-1426,844,-790,,2025-02-12 12:04:20.881495
-4153,-1100,-899,-1450,-1386,-947,,2025-02-12 12:04:20.933512
-3908,-796,-1038,-1570,-2103,-1077,,2025-02-12 12:04:20.936358
-3710,-598,-1174,-1504,-1292,-1254,,2025-02-12 12:04:20.938758
-3608,-491,-1382,-1323,161,-1430,,2025-02-12 12:04:20.948871
-3748,-463,-1239,-1211,869,-1622,,2025-02-12 12:04:20.981397
-3852,-505,-1168,-1401,355,-1901,,2025-02-12 12:04:20.982856
-3821,-508,-1096,-1819,-628,-2050,,2025-02-12 12:04:21.001177
-3679,-489,-938,-2438,-1007,-2049,,2025-02-12 12:04:21.015757
-3601,-356,-765,-3135,-995,-1958,,2025-02-12 12:04:21.039206
-3473,-272,-655,-3989,-1048,-1795,,2025-02-12 12:04:21.046855
-3387,-257,-697,-4931,-816,-1708,,2025-02-12 12:04:21.067527
-3297,-221,-690,-5900,-517,-1579,,2025-02-12 12:04:21.100558
-3307,-221,-739,-7031,-332,-1351,,2025-02-12 12:04:21.102972
-3357,-304,-763,-7819,-183,-1121,,2025-02-12 12:04:21.113325
-3576,-522,-846,-8634,-426,-878,,2025-02-12 12:04:21.137103
-3741,-753,-885,-9182,-907,-767,,2025-02-12 12:04:21.165526
-3783,-1025,-1029,-9388,-1392,-709,,2025-02-12 12:04:21.168366
-3673,-1220,-1155,-9256,-1398,-682,,2025-02-12 12:04:21.184507
-3607,-1328,-1196,-8805,-920,-674,,2025-02-12 12:04:21.198351
-3554,-1315,-1153,-8303,-616,-637,,2025-02-12 12:04:21.224848
-3552,-1238,-1112,-7883,-592,-508,,2025-02-12 12:04:21.232539
-3645,-1186,-947,-7526,-846,-300,,2025-02-12 12:04:21.246785
-3685,-1191,-759,-7419,-1297,-99,,2025-02-12 12:04:21.273288
-3694,-1272,-734,-7202,-1612,12,,2025-02-12 12:04:21.277196
-3763,-1260,-810,-6962,-1877,-31,,2025-02-12 12:04:21.296300
-3823,-1251,-954,-6691,-1994,-79,,2025-02-12 12:04:21.309789
-3866,-1222,-1171,-6374,-1719,-247,,2025-02-12 12:04:21.359560
-3932,-1218,-1271,-5832,-1541,-499,,2025-02-12 12:04:21.362418
-3843,-1034,-1327,-5109,-1563,-785,,2025-02-12 12:04:21.364035
-3826,-851,-1163,-4483,-1691,-937,,2025-02-12 12:04:21.376476
-3717,-724,-951,-4194,-1960,-1130,,2025-02-12 12:04:21.401091
-3599,-646,-947,-4176,-1948,-1119,,2025-02-12 12:04:21.408815
-3327,-462,-1122,-4063,-1655,-872,,2025-02-12 12:04:21.427322
-3246,-316,-1236,-3672,-1025,-405,,2025-02-12 12:04:21.443449
-3582,-268,-1321,-3317,-154,-301,,2025-02-12 12:04:21.474407
-4096,-192,-1372,-2774,151,-633,,2025-02-12 12:04:21.477024
-4642,-80,-1315,-1937,177,-1315,,2025-02-12 12:04:21.492244
-4996,236,-1093,-789,-429,-1932,,2025-02-12 12:04:21.526059
-4902,447,-690,-101,-1541,-1736,,2025-02-12 12:04:21.527904
-4560,559,-254,-106,-2466,-1081,,2025-02-12 12:04:21.546805
-4078,674,83,-850,-3091,366,,2025-02-12 12:04:21.556655
-3849,726,79,-1854,-3280,1795,,2025-02-12 12:04:21.578595
-3793,897,-35,-2674,-2820,2733,,2025-02-12 12:04:21.592075
-3854,1098,-64,-3371,-1539,3099,,2025-02-12 12:04:21.609560
-4113,1128,-150,-3962,-496,2933,,2025-02-12 12:04:21.634877
-4170,966,-233,-4200,-309,2767,,2025-02-12 12:04:21.659242
-4196,621,-327,-4241,-444,2465,,2025-02-12 12:04:21.661375
-4053,265,-355,-4013,-961,2088,,2025-02-12 12:04:21.691272
-3853,-65,-323,-3780,-1425,1924,,2025-02-12 12:04:21.693777
-3654,-290,-303,-3471,-1680,1813,,2025-02-12 12:04:21.708647
-3407,-298,-267,-3250,-1150,1481,,2025-02-12 12:04:21.722060
-3390,-17,-229,-3033,-479,1194,,2025-02-12 12:04:21.744922
-3563,261,-255,-2895,-6,1015,,2025-02-12 12:04:21.758971
-3854,356,-359,-2817,142,851,,2025-02-12 12:04:21.776179
-3921,346,-408,-2964,87,731,,2025-02-12 12:04:21.808537
-3911,329,-403,-3127,-109,793,,2025-02-12 12:04:21.809756
-3905,217,-498,-3201,-624,811,,2025-02-12 12:04:21.855712
-3892,165,-438,-3323,-1118,633,,2025-02-12 12:04:21.859483
-3849,145,-391,-3524,-1376,392,,2025-02-12 12:04:21.860907
-3703,181,-424,-3632,-1140,203,,2025-02-12 12:04:21.905722
-3630,176,-379,-3459,-193,151,,2025-02-12 12:04:21.923776
-3680,251,-306,-3296,425,153,,2025-02-12 12:04:21.937953
-3711,326,-276,-3348,548,189,,2025-02-12 12:04:21.940277
-3731,385,-301,-3625,447,225,,2025-02-12 12:04:21.941738
-3685,448,-432,-3859,460,210,,2025-02-12 12:04:21.959624
-3808,427,-487,-3974,651,117,,2025-02-12 12:04:21.984093
-3843,285,-413,-4004,698,-300,,2025-02-12 12:04:22.007501
-3791,140,-340,-4089,977,-613,,2025-02-12 12:04:22.010108
-3803,34,-361,-3950,1289,-738,,2025-02-12 12:04:22.020819
-3816,48,-343,-3717,1616,-836,,2025-02-12 12:04:22.035784
-3833,-14,-437,-3677,2144,-729,,2025-02-12 12:04:22.073310
-3952,-8,-540,-3797,2723,-175,,2025-02-12 12:04:22.076057
-4315,85,-602,-4024,2688,524,,2025-02-12 12:04:22.090729
-4689,133,-614,-4365,1373,1019,,2025-02-12 12:04:22.120833
-4448,214,-654,-4353,-851,1244,,2025-02-12 12:04:22.124128
-3992,231,-557,-4083,-1934,1090,,2025-02-12 12:04:22.139305
-3566,166,-416,-3715,-2024,693,,2025-02-12 12:04:22.149729
-3318,-17,-250,-3562,-1157,205,,2025-02-12 12:04:22.183688
-3399,-157,-329,-3611,-88,-156,,2025-02-12 12:04:22.187001
-3640,-221,-431,-3436,522,-242,,2025-02-12 12:04:22.202305
-3930,-196,-416,-3099,803,-104,,2025-02-12 12:04:22.218722
-4108,-142,-440,-2826,460,16,,2025-02-12 12:04:22.234679
-4118,-138,-414,-2776,-32,-79,,2025-02-12 12:04:22.249805
-3993,-119,-492,-2747,-271,-187,,2025-02-12 12:04:22.265451
-3791,-150,-466,-2605,-141,-278,,2025-02-12 12:04:22.286167
-3669,-105,-452,-2468,271,-264,,2025-02-12 12:04:22.301911
-3728,-119,-486,-2311,644,-140,,2025-02-12 12:04:22.314602
-3842,-88,-471,-2155,557,-67,,2025-02-12 12:04:22.347781
-3858,-118,-565,-1963,547,-120,,2025-02-12 12:04:22.351875
-3851,-144,-602,-1748,559,-250,,2025-02-12 12:04:22.368544
-3736,-126,-623,-1600,872,-535,,2025-02-12 12:04:22.384326
-3616,-134,-690,-1302,1456,-749,,2025-02-12 12:04:22.419226
-3619,-181,-684,-1042,1817,-874,,2025-02-12 12:04:22.422432
-3658,-231,-693,-824,2068,-932,,2025-02-12 12:04:22.435088
-3796,-284,-697,-631,2222,-899,,2025-02-12 12:04:22.448117
-3994,-349,-707,-427,2153,-792,,2025-02-12 12:04:22.478060
-4180,-292,-707,-104,1805,-674,,2025-02-12 12:04:22.493658
-4215,-270,-744,158,1123,-667,,2025-02-12 12:04:22.499340
-4052,-333,-778,405,581,-686,,2025-02-12 12:04:22.518150
-3903,-316,-676,353,320,-683,,2025-02-12 12:04:22.539048
-3815,-245,-494,69,152,-678,,2025-02-12 12:04:22.544739
-3901,-38,-366,-472,-13,-583,,2025-02-12 12:04:22.561502
-3955,117,-414,-1039,-113,-461,,2025-02-12 12:04:22.581935
-3990,229,-393,-1732,-73,-377,,2025-02-12 12:04:22.601925
-3995,314,-391,-2599,58,-370,,2025-02-12 12:04:22.614407
-3101,123,-164,-4218,855,1510,,2025-02-12 12:04:22.631002
-3867,-163,-597,-3674,-784,-688,,2025-02-12 12:04:22.643557
-3508,-309,-522,-4462,-129,102,,2025-02-12 12:04:22.680363
